City Name,Country,Latitude,Longitude,Max Temperature (*F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Date
Labuhan,ID,-6.8844,112.2051,82.78,82,96,17.27,1612855550
Miguel Calmon,BR,-11.4289,-40.595,70.05,92,100,4.36,1612856125
Savannakhet,LA,16.566,104.751,73.4,78,75,2.3,1612856125
Bambous Virieux,MU,-20.3428,57.7575,84.99,83,40,11.5,1612855552
Walvis Bay,NA,-22.9575,14.5053,68.0,77,90,6.91,1612856125
Caorle,IT,45.5966,12.8758,46.99,96,100,8.19,1612856125
Steamboat Springs,US,40.485,-106.8317,26.01,57,1,1.57,1612856125
Rocha,UY,-34.4833,-54.3333,63.37,95,33,7.9,1612855946
Nishihara,JP,26.1842,127.7558,64.4,42,75,11.5,1612856125
College,US,64.8569,-147.8028,-18.4,52,1,9.22,1612856125
Valencia,ES,39.4697,-0.3774,55.99,58,20,12.66,1612855843
Tessalit,ML,20.1986,1.0114,66.81,18,0,8.88,1612856126
Mossamedes,AO,-15.1961,12.1522,71.6,83,75,5.75,1612856126
Tupik,RU,54.4253,119.9327,12.16,93,100,0.87,1612856126
Yashkul',RU,46.1711,45.3435,25.72,96,100,18.32,1612856126
Kavaratti,IN,10.5669,72.642,82.04,63,0,7.45,1612855540
Yangi Marg`ilon,UZ,40.4272,71.7189,53.6,66,93,7.14,1612856126
Poso,ID,-1.3959,120.7524,83.93,70,100,2.17,1612856126
Sal Rei,CV,16.1833,-22.9167,66.2,72,20,11.5,1612856126
Stornoway,GB,58.2093,-6.3865,33.8,64,75,4.61,1612855617
Maricá,BR,-22.9194,-42.8186,75.99,88,90,4.65,1612856127
Guachetá,CO,5.3843,-73.6862,48.13,94,100,2.44,1612856127
Meulaboh,ID,4.1363,96.1285,86.58,63,67,8.61,1612856127
Penápolis,BR,-21.4197,-50.0775,64.04,80,0,9.06,1612856127
Oltu,TR,40.5498,42.0013,45.07,66,94,7.36,1612856127
Havre-St-Pierre,CA,50.2334,-63.5986,17.6,62,75,18.41,1612856127
Kilindoni,TZ,-7.9139,39.6668,78.76,91,100,15.08,1612856127
Noumea,NC,-22.2763,166.4572,80.6,83,75,9.22,1612856111
Phan Thiet,VN,10.9333,108.1,84.16,58,29,15.57,1612856004
Barguzin,RU,53.6167,109.6167,20.75,91,99,6.04,1612856127
Pevek,RU,69.7008,170.3133,-0.99,70,76,3.85,1612856127
Etchoropo,MX,26.7667,-109.6667,59.67,43,1,2.62,1612856128
Isangel,VU,-19.55,169.2667,87.8,62,20,5.75,1612856128
Hengshui,CN,37.7322,115.7011,53.98,37,0,7.74,1612856128
Caravelas,BR,-17.7125,-39.2481,71.82,94,100,1.9,1612855557
Sistranda,NO,63.7256,8.834,17.6,86,20,13.8,1612856128
Saint George,US,37.1041,-113.5841,48.0,34,1,3.44,1612855344
Kirovskiy,RU,45.0917,133.5136,5.16,91,12,3.38,1612856128
Saint Paul Harbor,US,57.79,-152.4072,24.8,74,75,5.75,1612855543
Wagar,SD,16.1525,36.2032,82.65,37,3,11.48,1612856129
Tautira,PF,-17.7333,-149.15,77.0,78,20,3.44,1612856129
Palmer,US,42.1584,-72.3287,19.0,79,90,1.61,1612856129
Río Gallegos,AR,-51.6226,-69.2181,55.4,82,0,1.14,1612856129
Ust-Nera,RU,64.5667,143.2,-3.12,80,85,5.61,1612855558
Nizwá,OM,22.9333,57.5333,80.76,24,89,4.0,1612856129
Hithadhoo,MV,-0.6,73.0833,82.17,80,100,11.95,1612855270
Dhārchula,IN,29.85,80.5333,76.51,17,14,7.05,1612856129
Alyangula,AU,-13.8483,136.4192,89.6,62,100,8.05,1612856129
Muzaffarabad,PK,34.37,73.4711,72.25,21,100,2.55,1612856129
Klaksvík,FO,62.2266,-6.589,28.4,93,20,5.75,1612856130
Lompoc,US,34.6391,-120.4579,51.8,82,90,3.44,1612855911
Tual,ID,-5.6667,132.75,83.93,78,100,19.01,1612855557
Bang Saphan,TH,11.2126,99.5117,87.8,66,20,6.91,1612856130
Nome,US,64.5011,-165.4064,6.8,51,90,13.8,1612855544
Lakatoro,VU,-16.0999,167.4164,81.1,64,5,3.78,1612856049
Villarrica,PY,-25.75,-56.4333,67.55,80,68,1.48,1612856130
La Ronge,CA,55.1001,-105.2842,-20.2,63,100,9.22,1612855546
Kenora,CA,49.8167,-94.4337,-20.0,76,75,8.05,1612856130
Oranjemund,NA,-28.55,16.4333,69.49,72,18,14.97,1612856131
Bluffton,US,32.2371,-80.8604,54.0,94,90,8.05,1612856131
Ende,ID,-8.8432,121.6623,82.67,76,100,4.0,1612856131
Iquique,CL,-20.2208,-70.1431,68.0,68,0,12.66,1612856131
Schattdorf,CH,46.8655,8.6547,32.0,100,90,2.3,1612856131
Santa Cruz de Tenerife,ES,28.4682,-16.2546,60.01,87,75,10.36,1612856131
Conselheiro Pena,BR,-19.1722,-41.4722,70.5,90,100,2.15,1612856131
Necochea,AR,-38.5473,-58.7368,51.01,95,8,1.01,1612856131
Benghazi,LY,32.1167,20.0667,62.74,53,0,15.66,1612856132
Mandiana,GN,10.6333,-8.6833,70.32,26,0,5.12,1612856132
Bonanza,NI,14.0289,-84.591,67.26,96,14,1.54,1612856132
Siemiatycze,PL,52.4272,22.8623,18.0,87,100,1.01,1612856132
Twin Falls,US,42.3505,-114.6445,27.0,74,40,5.75,1612856132
Kerema,PG,-7.9631,145.7785,83.26,76,100,3.71,1612856132
Kargat,RU,55.1956,80.2811,-1.95,90,100,17.74,1612856132
Hambantota,LK,6.1241,81.1185,89.6,58,20,17.27,1612856132
Les Cayes,HT,18.2,-73.75,73.62,77,35,3.47,1612856133
Lethem,GY,3.3803,-59.7968,74.66,76,7,11.97,1612856133
Norman Wells,CA,65.282,-126.8329,-38.2,67,1,4.61,1612855859
Puerto Colombia,CO,10.9878,-74.9547,78.8,78,0,11.5,1612856133
Marzuq,YE,14.4,46.4667,64.89,48,100,14.07,1612856133
Kieta,PG,-6.2167,155.6333,82.18,79,100,5.35,1612856133
Black River,JM,18.0264,-77.8487,75.2,78,20,2.3,1612856133
Bloemfontein,ZA,-29.1211,26.214,73.4,73,40,13.8,1612855861
Ferrol,ES,43.4832,-8.2369,53.01,76,100,3.0,1612856066
Nouadhibou,MR,20.931,-17.0347,59.0,82,0,21.85,1612855545
Altamira,BR,-3.2033,-52.2064,73.02,96,100,3.78,1612855556
Poum,NC,-20.2333,164.0167,80.58,78,33,10.98,1612856134
Cherskiy,RU,68.75,161.3,7.88,85,37,9.17,1612855539
Leshukonskoye,RU,64.8989,45.7622,-13.72,89,85,3.11,1612856134
Qandala,SO,11.472,49.8728,77.22,57,86,12.12,1612856134
Micomeseng,GQ,2.1462,10.6164,77.67,81,100,1.41,1612856134
Golden,US,39.7555,-105.2211,25.0,79,1,4.61,1612856135
Alice Springs,AU,-23.7,133.8833,89.01,62,75,12.66,1612856135
Khovu-Aksy,RU,51.1333,93.6,25.79,90,56,6.71,1612856135
Hirara,JP,24.8,125.2833,68.0,68,75,13.8,1612856135
Severobaykal'sk,RU,55.65,109.3167,17.64,94,100,0.6,1612856135
Rioblanco,CO,3.5308,-75.6806,61.61,78,99,3.85,1612856135
San Francisco,US,37.7749,-122.4194,54.0,76,90,12.66,1612855611
Toora-Khem,RU,52.4675,96.11,28.0,94,100,5.37,1612856135
Plácido de Castro,BR,-10.3353,-67.1856,72.45,97,100,1.03,1612856135
Yar-Sale,RU,66.8333,70.8333,-19.52,86,57,8.99,1612856136
Malanje,AO,-9.5402,16.341,67.53,92,99,5.21,1612856136
Mana,GF,5.6592,-53.7767,76.19,79,79,11.21,1612855541
Tommot,RU,58.9564,126.2925,3.65,92,100,1.72,1612856136
Nelson,NZ,-41.2833,173.2833,64.99,97,100,1.99,1612855837
Nakambala,ZM,-15.8324,27.7799,70.43,93,98,4.14,1612856136
Karaton,ID,-6.3424,106.1045,87.8,66,40,13.8,1612856136
Mayo,US,38.8876,-76.5119,34.0,75,1,4.61,1612856136
Pangnirtung,CA,66.1451,-65.7125,7.81,75,0,2.46,1612856137
Aksu,CN,41.1231,80.2644,48.45,42,30,4.5,1612856137
Santa Cruz,MA,30.4202,-9.5982,48.2,100,90,2.73,1612856137
Hong Kong,HK,22.2855,114.1577,66.99,74,100,1.99,1612855500
Assiniboia,CA,49.6334,-105.9845,-20.2,63,0,21.85,1612856137
Leiyang,CN,26.4024,112.8591,49.89,87,100,6.91,1612856137
Kahului,US,20.8947,-156.47,71.6,64,1,11.5,1612856137
Portland,US,45.5234,-122.6762,37.0,75,1,1.79,1612855980
Kharp,RU,66.8014,65.8081,-16.58,82,0,2.17,1612856137
Yulara,AU,-25.2406,130.9889,104.0,17,40,11.5,1612855553
Chernyshevskiy,RU,63.0128,112.4714,-11.67,91,100,5.23,1612856138
Izhmorskiy,RU,56.194,86.6414,-1.1,90,100,19.86,1612856138
Tulagi,SB,-9.0996,160.1476,82.98,78,98,18.7,1612856138
Lengshuitan,CN,26.4111,111.5956,48.51,87,100,4.25,1612856138
Laas,IT,46.6166,10.7002,39.0,86,40,3.44,1612856138
Paka,MY,4.6374,103.4368,84.2,79,40,9.22,1612856138
Avera,US,33.194,-82.5271,51.8,89,1,4.61,1612856138
Port-Gentil,GA,-0.7193,8.7815,80.6,100,75,3.44,1612855940
Kasongo-Lunda,CD,-6.4667,16.8167,83.43,63,100,1.54,1612856139
Ajdabiya,LY,30.7554,20.2263,63.03,38,0,8.23,1612856139
Ambulu,ID,-8.345,113.6058,82.53,79,92,4.18,1612856139
Arrifes,PT,37.7667,-25.7,60.01,100,75,18.41,1612856139
Savalou,BJ,7.9281,1.9756,82.99,66,48,3.65,1612856139
Vila Velha,BR,-20.3297,-40.2925,77.0,94,90,3.44,1612856139
Fuyu,CN,45.1833,124.8167,18.75,96,20,4.34,1612856139
Fatezh,RU,52.0891,35.8632,12.2,79,90,22.37,1612856139
Sakakah,SA,29.9697,40.2064,59.0,58,0,8.05,1612856139
Maltahöhe,NA,-24.8333,16.9833,84.65,32,0,12.12,1612855858
Okha,RU,53.5739,142.9478,6.33,93,100,17.36,1612856140
Juneau,US,58.3019,-134.4197,10.4,52,1,21.85,1612855908
Kindu,CD,-2.95,25.95,86.0,53,100,1.41,1612856140
Media Luna,CU,20.1419,-77.435,72.52,86,0,7.36,1612856140
Shingū,JP,33.7333,135.9833,44.6,45,20,16.11,1612856140
Morón,AR,-34.6534,-58.6198,66.99,87,57,5.01,1612855258
Birao,CF,10.2849,22.7882,77.13,17,85,12.39,1612856140
Bengkulu,ID,-3.8004,102.2655,86.04,64,94,13.24,1612856140
Atasū,KZ,48.6814,71.6433,-0.08,91,100,21.27,1612856140
